Time from Start to Finish (seconds),Approximate Age,Approximate Empolyees,Approximate Wage,Approximate Spending,Coding Years,TPU Times,ML Years
417,27,10000,500,0,4,0,1
727,52,25,112500,5000,4,0,4
463,20,10000,75000,500,4,25,2
511,37,5000,45000,0,2,0,2
782,27,125,175000,5000,2,0,4
2716,47,5000,45000,5000,1,3,2
1616,23,25,1500,0,1,1,2
2131,27,125,1500,50,4,0,3
709,42,,0,,20,0,20
1699,57,25,35000,5000,7.5,3,2
10160,23,125,17500,5000,4,0,3
367,23,5000,500,500,1,0,2
717,32,5000,95000,100000,7.5,0,1
526,27,500,45000,5000,4,0,5
543,65,,0,,1,0,1
428,20,500,500,5000,1,0,1
403,20,,0,,1,0,1
7769,23,25,500,500,1,0,2
518,27,,0,,1,3,1
590,37,500,65000,50000,15,0,3
1536,27,500,6250,0,0,,
477,32,5000,400000,100000,15,0,10
285,32,25,55000,0,1,0,1
39564,23,,0,,2,1,2
612,32,10000,17500,50,4,0,1
1224,37,125,133000,50000,4,0,4
610,32,500,8250,500,4,0,1
1390,27,25,500,0,4,0,3
631,32,125,175000,5000,15,0,10
1091,37,500,112500,50000,7.5,1,3
662,32,5000,500,0,4,0,5
288,20,,0,,2,0,2
370,20,,0,,1,0,1
829,27,500,133000,50,7.5,0,3
1081,37,25,500,500,7.5,0,3
1215,23,,0,,1,0,1
646,47,500,112500,50,20,0,5
2512,42,10000,65000,5000,4,0,4
907,47,500,1500,500,2,0,2
547,27,500,2500,0,1,0,1
773,52,500,17500,50,20,0,2
279,32,125,95000,0,7.5,0,10
638,27,5000,12500,0,2,0,1
493,32,500,12500,50,7.5,0,1
612,23,,0,,1,0,1
333,20,,0,,0,,
639,37,5000,12500,50,7.5,0,3
2521,42,125,45000,500,4,3,4
855,23,125,500,0,1,0,1
1133,23,,0,,2,0,2
364,27,10000,112500,0,2,0,2
1033,37,10000,35000,100000,7.5,3,2
646,42,25,500000,50000,15,0,12
452,32,,0,,2,0,3
320,47,25,1500,0,0,,
1256,27,125,8250,50,4,0,3
242,23,10000,85000,0,1,0,1
797,32,10000,12500,500,4,1,3
319,20,,0,,2,0,2
592,32,10000,55000,100000,7.5,0,10
2663,47,10000,95000,5000,4,0,3
468,27,5000,133000,0,2,0,2
385,37,10000,22500,0,1,0,1
530,23,,0,,1,0,1
1981,23,5000,6250,500,2,0,2
219,23,,0,,1,0,1
427,32,5000,22500,500,2,0,1
515,37,25,65000,5000,15,0,3
503,32,500,55000,500,2,0,2
1255,32,10000,22500,500,4,0,3
645,27,500,112500,50000,4,1,5
505,32,500,95000,500,4,0,2
743,37,25,2500,0,7.5,0,10
544,23,25,12500,500,1,0,3
250,20,25,2500,5000,0,,
297,20,25,500,0,1,0,1
3129,32,500,35000,5000,7.5,0,1
589,37,10000,65000,100000,15,0,5
342,20,,0,,2,3,1
521,20,,0,,2,1,1
47899,37,125,1500,50,2,0,1
687,23,10000,6250,50,2,3,4
1294,42,125,17500,5000,4,0,1
638,37,25,17500,5000,7.5,0,3
336,27,125,85000,0,2,3,1
737,27,5000,65000,5000,4,3,4
193,20,,0,,0,,
636,37,5000,55000,0,4,0,4
479,32,10000,12500,50,1,0,1
338,23,,0,,1,1,1
423,47,5000,112500,500,1,0,1
496,32,5000,75000,0,4,0,3
540,27,,0,,1,0,1
845,23,,0,,7.5,3,5
186,23,,0,,0,,
529,20,5000,500,0,2,25,1
1251,32,500,133000,50000,4,0,4
9186,37,5000,75000,50000,2,0,3
654,20,,0,,2,0,1
765,27,500,85000,0,2,0,2
1463,27,25,6250,0,4,0,2
3988,42,25,95000,50000,15,0,5
662,32,25,45000,500,1,0,1
480,27,5000,6250,0,1,3,1
436,20,,0,,1,0,1
518,37,10000,55000,0,15,0,3
968,52,25,8250,50,4,3,3
747,32,5000,35000,50000,15,25,10
649,27,25,27500,5000,7.5,0,5
493,23,,0,,1,0,1
294,20,,0,,1,25,1
397,47,500,112500,500,15,0,1
27278,70,25,65000,0,2,0,1
849,42,10000,95000,0,15,0,10
684,27,500,6250,500,2,0,1
368,23,25,2500,500,4,3,2
365,27,25,500,50,2,0,3
584,37,125,400000,100000,7.5,0,10
345,37,10000,55000,0,15,0,10
604,32,25,22500,5000,4,0,4
720,27,25,55000,500,4,1,3
811,42,10000,35000,50000,1,3,2
634,42,25,500,500,7.5,0,2
350,20,,0,,2,1,2
971,70,10000,45000,5000,20,0,2
336,20,,0,,1,0,1
349,27,10000,1500,0,4,0,4
1449,23,25,3500,500,1,0,2
605,23,125,65000,500,4,0,2
873,52,500,95000,50000,20,0,20
734,23,,0,,1,1,1
528,42,125,500,0,1,0,1
923,37,5000,12500,0,1,0,1
453,23,500,2500,50,1,0,1
649,47,25,500,0,1,3,1
233,20,25,1500,5000,2,3,5
2145,27,5000,2500,50,4,0,4
368,20,,0,,2,0,1
513,20,,0,,1,0,1
1287,27,25,65000,500,4,0,3
359,42,500,17500,50000,0,,
2832,23,25,500,0,2,0,1
899,20,,0,,1,0,1
605,20,,0,,4,3,2
543,23,10000,500,500,1,0,1
772,20,125,1500,5000,2,0,2
428,20,,0,,1,0,1
366,20,500,500,5000,4,1,3
5507,32,5000,95000,500,2,0,2
339,42,10000,500000,100000,4,1,3
367,27,,0,,1,0,1
762,23,25,17500,500,2,1,2
1142,27,10000,175000,100000,15,0,10
1235,20,,0,,2,0,2
559,65,25,17500,0,7.5,0,1
291,20,,0,,2,1,2
912,32,125,17500,50000,4,3,4
1145,37,500,6250,0,1,0,1
447,27,25,500,500,0,,
477,27,5000,400000,50000,7.5,12,4
347,20,,0,,2,3,3
848,52,500,35000,5000,7.5,0,12
630,32,10000,55000,5000,2,0,3
395,23,,0,,2,0,2
1819,37,125,500,500,7.5,0,5
771,37,5000,12500,5000,2,1,2
982,27,25,22500,5000,2,0,2
526,20,,0,,1,0,1
926,52,5000,225000,50000,1,0,1
462,27,25,35000,0,4,0,2
485,47,,0,,1,0,2
596,32,5000,55000,500,2,0,2
1252,37,25,8250,500,15,3,4
486,27,25,500,0,1,0,1
333,23,,0,,1,0,1
410,23,,0,,2,1,3
1330,20,,0,,2,0,2
980,23,5000,1500,0,2,0,1
292,27,500,6250,0,0,,
488,37,5000,2500,50000,15,0,1
418,23,5000,500,0,1,0,1
2445,23,,0,,2,0,1
676,47,25,500,0,20,0,20
513,23,10000,12500,500,2,0,2
7338,32,500,112500,50,4,0,3
429,20,,0,,1,0,1
1006,27,25,500,50,1,0,1
537,37,10000,133000,100000,15,3,10
375,23,,0,,0,,
324,20,,0,,1,0,1
831,27,500,6250,0,1,0,1
1217,27,25,1500,500,4,0,2
425,27,500,75000,50,7.5,12,1
748,32,5000,35000,50000,15,0,3
827,37,10000,65000,50,2,0,3
267,27,25,6250,0,2,0,1
771,37,25,65000,5000,2,0,3
451,47,10000,225000,100000,15,12,12
462,37,,0,,1,1,1
392,20,,0,,1,1,1
596,32,10000,22500,500,4,0,4
34969,27,5000,22500,0,2,0,2
381,20,25,500,0,1,3,1
492,57,5000,85000,5000,0,,
405,32,5000,35000,0,4,1,4
693,42,10000,12500,0,0,,
3202,27,125,12500,5000,4,12,3
760,42,500,3500,0,1,0,1
1102,47,125,175000,500,15,0,12
1680,37,500,8250,0,2,0,2
466,27,25,175000,0,7.5,0,4
642,65,,0,,20,1,4
1186,42,500,75000,0,2,0,2
743,57,10000,175000,100000,7.5,0,10
559,47,,0,,1,0,1
315,20,,0,,1,0,1
395,23,,0,,2,0,2
735,23,,0,,2,0,1
576,20,,0,,1,3,1
219,20,,0,,0,,
1103,32,25,17500,5000,2,3,2
2113,32,5000,22500,500,7.5,0,10
451,27,10000,35000,100000,4,0,3
655,27,25,27500,0,2,0,3
2057,23,25,3500,5000,2,0,1
519,32,500,12500,5000,7.5,0,10
271,32,,0,,4,0,3
670,37,10000,85000,50000,4,0,5
621,52,500,175000,100000,20,0,20
563,37,10000,133000,100000,7.5,0,2
464,23,,0,,1,0,2
1253,47,25,12500,5000,2,12,1
731,27,10000,22500,100000,4,0,5
581,27,25,65000,100000,7.5,0,5
243,27,10000,6250,5000,0,,
418,27,,0,,7.5,0,10
787,47,5000,45000,50,15,0,1
6000,27,125,3500,50,2,0,2
4458,37,5000,12500,50000,0,,
1764,27,125,500,5000,4,0,5
444,32,10000,22500,5000,1,0,1
159,23,,0,,2,0,2
544,20,,0,,2,0,1
477,20,,0,,1,0,1
664,32,10000,35000,50000,1,12,1
482,32,125,175000,0,7.5,0,10
654,20,,0,,2,0,2
561,27,5000,27500,50,2,0,1
309,20,,0,,2,0,1
930,27,500,35000,50,4,0,3
475,27,,0,,2,0,2
686,27,125,55000,50,0,,
225,20,,0,,0,,
3920,27,10000,6250,0,1,0,1
320,27,5000,35000,0,1,0,1
1120,27,125,17500,500,2,0,2
1137,57,25,65000,100000,7.5,3,3
479,32,10000,65000,0,4,0,2
287,23,,0,,4,0,4
1146,27,500,12500,5000,2,0,1
449,32,5000,22500,0,1,0,1
501,20,,0,,1,0,1
377,20,,0,,2,0,1
552,42,10000,225000,50000,2,0,5
276,32,,0,,2,0,1
602,27,,0,,1,0,1
286,20,,0,,1,0,1
474,23,5000,12500,0,1,0,1
258,20,,0,,1,0,1
1349,23,,0,,1,0,1
570,23,125,12500,5000,4,0,2
953,42,25,27500,500,4,0,4
678,52,25,175000,500,0,,
2061,52,500,500,50,0,,
3828,27,125,45000,500,2,0,3
417,23,25,500,0,2,0,2
866,27,25,8250,50,4,0,3
658,42,25,500,50000,20,1,12
850,47,125,45000,0,4,0,4
376,37,5000,35000,0,1,0,1
669,32,25,500,0,1,0,1
2373,27,25,2500,500,4,0,1
401,20,,0,,2,1,1
628,27,5000,12500,50000,4,1,3
329,20,,0,,2,0,1
2860,27,5000,2500,5000,2,0,1
843,27,,0,,2,0,1
1560,20,,0,,0,,
320,20,,0,,1,0,1
474,37,25,22500,5000,15,0,3
1378,47,,0,,15,0,1
1513,42,500,3500,500,7.5,0,1
623,27,25,1500,500,2,0,1
1010,37,5000,65000,50000,15,0,12
517,32,10000,27500,50,4,0,5
525,47,125,8250,50,2,12,2
586,27,125,3500,5000,7.5,0,5
1042,37,5000,12500,0,4,0,3
1036,37,500,65000,50000,15,0,4
571,27,5000,12500,50000,1,0,2
539,23,125,133000,50000,4,1,3
900,32,10000,17500,0,1,0,1
268,23,25,500,0,0,,
303,20,,0,,2,3,2
425,23,,0,,1,0,1
1968,27,25,500,50,1,0,1
749,32,5000,45000,5000,7.5,0,10
534,23,,0,,1,0,1
490,23,,0,,2,3,2
236,37,25,75000,0,1,0,5
2872,32,,0,,2,0,2
200,20,,0,,0,,
636,37,125,3500,5000,4,0,3
515,32,125,500,0,2,0,2
426,42,5000,85000,50000,1,0,1
452,37,25,75000,5000,15,0,10
77,20,25,500,0,0,,
736,32,5000,55000,50000,4,3,3
1003,27,10000,6250,500,4,0,2
663,32,25,1500,0,0,,
355,20,,0,,2,0,1
722,23,125,500,500,2,0,1
46169,32,10000,45000,500,7.5,0,1
694,27,5000,27500,500,7.5,0,10
646,32,500,6250,0,7.5,0,5
2187,23,10000,3500,500,1,3,1
318,27,10000,400000,500,0,,
1721,27,,0,,4,0,3
365,27,500,500,500,4,1,2
790,52,25,275000,100000,2,0,5
587,32,5000,85000,5000,7.5,0,1
400,20,,0,,1,0,1
488,27,5000,6250,100000,4,0,1
332,20,,0,,2,0,2
1108,32,25,3500,50,7.5,1,2
368,23,,0,,1,0,1
48036,20,,0,,1,0,1
667,23,,0,,1,0,1
719,37,10000,175000,5000,7.5,0,10
1106,42,500,35000,50,1,0,1
1166,27,25,55000,0,4,0,2
367,23,5000,8250,0,2,12,2
323,23,125,45000,0,2,0,3
1016,37,500,112500,50000,4,0,3
919,52,25,12500,0,1,0,1
481,37,125,22500,50,0,,
7974,27,500,4500,5000,1,0,1
4456,27,25,17500,500,2,1,1
763,32,125,85000,0,4,0,3
7226,37,25,85000,0,1,0,1
769,32,25,8250,50,1,0,1
311,37,125,1500,0,4,12,3
424,20,,0,,1,0,1
431,23,,0,,2,0,1
746,27,25,75000,500,2,0,2
293,27,,0,,1,0,1
335,27,10000,2500,5000,0,,
2770,23,10000,17500,5000,4,0,4
688,37,500,133000,5000,4,0,5
16862,57,5000,65000,500,2,0,2
634,27,5000,12500,500,1,0,1
857,23,10000,500,500,2,0,2
1241,32,125,65000,50000,7.5,0,3
1056,23,10000,12500,5000,2,1,2
507,23,500,12500,0,2,0,1
840,42,10000,112500,100000,20,0,20
855,37,10000,85000,0,2,0,2
943,32,125,45000,50000,4,0,2
935,42,25,500,500,1,0,1
341,20,,0,,2,1,2
649,20,,0,,1,1,1
639,23,,0,,1,0,1
436,20,,0,,1,0,1
1266,52,25,45000,5000,15,3,10
390,37,5000,175000,0,1,0,1
11937,20,,0,,2,0,1
337,27,,0,,4,0,3
322,27,,0,,4,0,3
871,27,25,27500,5000,4,1,1
339,23,,0,,2,0,2
368,37,10000,65000,100000,0,,
600,37,10000,95000,5000,2,0,2
801,20,,0,,1,0,1
473,20,,0,,4,0,2
495,37,500,112500,50000,4,0,3
298,32,10000,35000,100000,0,,
5450,23,10000,35000,100000,2,3,3
511,20,,0,,1,0,1
816,32,125,1500,50000,7.5,0,5
758,42,500,1500,0,0,,
411,23,10000,500,500,7.5,0,3
899,47,25,500,500,4,3,2
121,23,,0,,0,,
397,47,25,12500,50,2,0,2
390,20,,0,,1,0,1
548,27,5000,6250,50,1,0,1
866,32,25,500,0,2,0,2
775,65,5000,2500,0,2,0,2
279,23,,0,,4,3,4
448,23,,0,,2,0,2
979,52,10000,8250,50000,1,3,1
967,42,10000,55000,50000,1,0,1
386,42,10000,75000,0,15,0,10
308,20,,0,,1,0,1
2304,42,10000,55000,500,7.5,1,3
812,32,10000,17500,500,4,0,4
695,32,125,27500,0,2,0,1
489,32,500,1500,0,2,0,1
461,42,25,112500,50,15,0,3
551,32,500,22500,50,2,3,2
2468,27,,0,,1,0,2
556,23,,0,,0,,
807,37,10000,55000,50000,7.5,1,5
502,52,10000,133000,5000,7.5,0,2
404,52,,0,,4,0,1
297,20,,0,,1,12,1
588,23,5000,500,500,1,0,2
947,32,5000,75000,0,7.5,1,4
666,27,10000,17500,0,1,0,1
1498,23,,0,,1,0,1
2294,47,,0,,15,0,3
740,37,25,500,50,1,1,1
573,37,5000,112500,100000,4,0,2
1306,27,10000,17500,500,7.5,0,1
316,23,500,500,500,4,0,3
235,20,,0,,2,0,1
362,32,,0,,4,0,5
1200,57,10000,55000,0,15,0,2
1160,27,500,4500,5000,2,0,3
347,27,10000,1500,0,1,0,1
487,20,,0,,1,0,1
565,20,,0,,2,0,1
412,23,,0,,2,1,2
836,27,,0,,1,0,1
721,42,500,35000,0,4,0,1
691,27,10000,12500,100000,4,0,1
429,32,5000,8250,0,4,0,1
820,27,5000,1500,5000,2,0,3
10179,32,10000,500,50,4,0,2
1073,27,25,17500,50000,2,1,3
1119,27,5000,12500,5000,2,1,2
693,23,5000,112500,500,4,0,3
467,23,25,55000,5000,4,0,3
449,27,10000,65000,500,4,0,5
407,20,25,500,0,1,0,1
439,42,500,22500,500,7.5,3,3
10526,32,25,6250,100000,2,0,2
489,32,500,12500,50,1,0,1
900,32,25,65000,500,15,12,4
601,32,5000,175000,50000,15,0,12
308,57,,0,,20,0,1
1085,52,125,175000,100000,15,0,10
2413,27,5000,8250,0,7.5,0,2
462,23,125,2500,0,1,1,1
460,52,5000,22500,0,2,1,2
550,27,,0,,1,0,1
211,27,,0,,0,,
5645,42,5000,85000,0,2,0,1
1075,42,25,500,50000,15,0,12
664,32,25,17500,500,7.5,0,2
529,32,10000,12500,0,1,0,1
814,65,25,27500,5000,15,0,12
655,37,25,22500,5000,1,0,1
896,23,10000,6250,50,0,,
719,37,5000,112500,0,7.5,0,1
1499,32,125,3500,5000,2,0,2
3505,27,10000,6250,0,2,0,2
581,42,5000,22500,500,15,0,1
456,27,500,2500,50,4,0,3
664,32,,0,,2,0,1
768,32,5000,85000,100000,7.5,0,10
4299,32,5000,35000,50,4,0,4
941,20,25,500,50,1,3,1
483,32,500,27500,0,4,3,2
397,20,,0,,1,3,1
2352,42,125,133000,500,20,0,20
236,32,,0,,0,,
1105,27,25,2500,5000,1,3,2
249,23,,0,,0,,
381,37,10000,65000,0,4,0,2
514,23,125,500,50,1,0,1
2100,27,125,75000,50000,7.5,0,10
726,37,500,1500,50,1,0,2
475,27,125,500,50,2,0,1
428,27,5000,6250,0,2,0,2
17719,57,125,75000,100000,7.5,0,3
771,27,125,45000,50,2,1,3
1782,20,,0,,2,0,2
679,37,,0,,1,0,1
2198,20,25,6250,0,1,0,1
1453,23,25,500,0,0,,
1904,42,,0,,2,3,2
431,37,5000,55000,5000,7.5,0,1
301,23,25,55000,500,4,0,1
2085,42,10000,112500,5000,2,0,1
10455,32,10000,75000,100000,15,0,10
238,23,125,6250,5000,0,,
486,37,10000,133000,500,4,3,5
606,27,,0,,1,0,1
427,32,10000,12500,0,7.5,0,1
887,37,500,45000,0,2,25,2
1128,23,10000,500,500,2,0,3
480,27,5000,75000,100000,4,0,2
1141,57,125,500,50,1,0,1
646,37,10000,95000,100000,2,3,3
489,23,125,22500,50,1,0,2
454,37,125,8250,50000,7.5,1,10
1342,37,500,6250,5000,15,0,4
1017,65,5000,65000,500,20,12,10
1022,52,25,22500,50000,15,0,2
614,32,10000,95000,0,15,0,4
1271,23,,0,,4,1,3
288,37,25,85000,5000,4,0,3
1679,37,10000,65000,100000,2,0,2
448,27,,0,,7.5,0,3
694,27,5000,55000,0,7.5,1,3
476,27,10000,175000,100000,7.5,0,5
842,32,25,500,0,1,0,1
1075,27,25,500,50,4,0,4
1029,32,25,27500,500,4,0,3
547,37,125,45000,100000,7.5,0,10
219,20,25,500,0,0,,
750,20,,0,,1,0,1
383,23,,0,,2,0,1
545,23,,0,,1,0,1
831,47,500,6250,500,2,1,3
3652,27,25,175000,0,2,0,1
482,20,,0,,1,0,1
493,37,,0,,7.5,0,10
1142,27,5000,3500,500,2,1,4
584,47,5000,17500,500,20,0,1
578,32,25,85000,0,15,0,12
381,23,125,6250,50,2,0,2
1686,42,125,22500,5000,4,0,4
502,27,5000,133000,0,4,0,1
11064,47,25,22500,50000,15,0,12
2051,27,125,6250,50,1,0,2
689,23,25,500,0,1,1,2
875,65,25,112500,500,20,0,20
521,37,125,3500,500,2,0,2
23022,32,25,65000,5000,4,1,1
414,37,125,500,0,2,0,2
636,27,500,500,0,2,0,2
885,23,,0,,4,0,5
490,20,,0,,1,0,1
444,20,,0,,1,0,1
406,20,,0,,2,0,2
372,23,,0,,1,0,2
559,23,,0,,1,0,1
8092,20,,0,,4,0,2
719,23,125,500,50,0,,
251,23,,0,,1,1,1
1223,23,25,3500,0,1,0,2
930,52,5000,112500,5000,15,0,20
1680,20,,0,,1,0,1
615,23,5000,500,5000,1,3,1
552,42,,0,,1,0,1
314,20,,0,,2,12,2
373,27,25,6250,0,2,25,3
524,47,25,225000,100000,15,25,12
369,37,125,75000,100000,4,0,2
474,23,10000,12500,0,1,0,1
1001,27,500,4500,500,2,0,2
562,23,125,12500,100000,2,1,2
422,32,5000,225000,50000,7.5,0,10
827,32,500,12500,500,2,0,2
672,37,25,35000,0,7.5,0,5
408,27,25,500,0,1,1,1
320,20,,0,,1,3,1
2766,27,25,8250,50,4,0,3
891,42,125,55000,500,1,1,1
684,27,25,27500,5000,7.5,0,10
537,27,125,35000,0,2,0,1
675,27,25,12500,5000,2,0,2
416,23,,0,,1,0,1
500,37,500,500,500,1,0,1
590,37,125,27500,500,2,0,2
778,23,10000,6250,50000,2,0,2
482,32,25,175000,5000,7.5,0,10
431,23,,0,,2,1,3
400,20,,0,,1,0,1
515,27,25,1500,5000,1,0,1
876,37,125,8250,0,1,0,1
644,23,10000,35000,500,2,0,2
777,32,25,65000,50000,7.5,0,10
303,37,10000,27500,0,1,0,1
514,47,125,1500,0,15,0,2
964,27,,0,,1,0,1
871,23,125,45000,50,4,12,3
514,32,125,2500,0,0,,
538,27,10000,112500,50000,15,25,12
15231,27,10000,35000,0,7.5,0,3
357,42,10000,85000,0,15,0,2
286,42,500,4500,50,0,,
670,23,500,6250,50,1,3,2
799,20,25,2500,500,2,0,2
1001,20,,0,,1,12,2
386,20,500,4500,0,0,,
688,32,,0,,2,3,2
570,37,5000,95000,5000,4,0,3
638,27,,0,,1,0,1
857,23,500,500,5000,4,0,3
3006,57,10000,65000,100000,7.5,0,10
448,27,125,500000,0,7.5,0,10
728,37,500,6250,0,2,0,1
740,65,,0,,20,0,4
386,20,,0,,2,1,2
305,27,25,3500,0,0,,
389,32,125,500,50,0,,
548,37,125,22500,500,2,0,1
536,27,5000,35000,500,1,0,1
25227,27,500,35000,100000,4,0,3
525,20,,0,,1,0,1
350,27,25,12500,500,2,0,3
489,20,5000,8250,50,2,3,3
561,47,125,45000,0,15,1,4
543,32,125,27500,500,1,0,1
667,47,25,175000,50000,4,0,10
529,47,25,175000,50000,20,0,20
624,32,25,45000,5000,7.5,1,2
589,32,,0,,2,0,2
545,23,,0,,1,0,1
459,47,25,35000,0,0,,
624,32,10000,65000,100000,15,0,12
1767,42,500,17500,500,2,0,2
1051,37,5000,8250,5000,2,0,1
722,27,5000,22500,500,2,0,2
443,47,125,45000,0,7.5,0,3
1014,32,25,75000,500,7.5,0,10
577,37,500,27500,500,7.5,0,12
764,23,125,500,500,1,1,1
444,37,500,175000,50000,15,0,10
1872,23,,0,,1,1,1
764,27,500,500,50,2,0,2
1827,52,25,35000,50,20,3,10
658,27,10000,35000,50,2,0,2
482,32,10000,8250,0,0,,
328,20,,0,,1,0,1
453,52,500,65000,0,20,0,3
273,32,,0,,1,0,1
895,27,,0,,0,,
503,32,25,17500,0,2,0,3
585,32,25,1500,500,2,0,3
5517,37,500,45000,5000,7.5,0,2
700,32,125,1500,500,2,1,3
803,57,125,65000,100000,15,0,10
672,23,,0,,2,3,2
32337,27,,0,,2,0,2
510,37,10000,1500,500,2,0,2
350,52,,0,,0,,
1073,37,,0,,0,,
823,42,10000,45000,5000,4,0,1
511,27,,0,,2,0,1
946,27,25,1500,500,4,0,3
929,27,25,8250,50000,4,0,4
427,37,10000,133000,100000,15,0,5
898,42,5000,6250,0,1,0,1
248,27,,0,,4,0,10
914,27,25,500,0,2,0,2
1019,23,10000,6250,0,4,0,2
226,27,,0,,0,,
925,42,25,45000,0,4,0,3
337,23,,0,,1,0,1
542,37,500,500,0,1,0,1
1158,57,25,35000,0,20,3,20
579,20,,0,,4,0,2
620,23,5000,12500,5000,7.5,0,4
314,20,,0,,0,,
3500,32,500,133000,100000,7.5,0,10
1650,23,25,500,50,1,3,2
749,42,125,27500,5000,1,0,1
682,57,25,85000,5000,20,0,5
305,23,25,8250,500,2,0,3
1083,37,5000,6250,0,2,0,2
662,23,25,500,0,1,0,1
395,27,25,35000,5000,4,0,3
343,37,5000,65000,0,4,0,3
385,20,,0,,2,0,2
574,27,25,55000,500,2,1,2
670,32,125,133000,100000,2,0,2
1490,23,,0,,1,0,1
552,42,5000,85000,50000,15,0,12
1238,32,25,45000,50,2,0,3
1471,27,25,500,0,1,0,1
600,20,,0,,2,1,2
946,32,25,75000,50000,7.5,1,4
415,32,125,35000,0,7.5,0,2
1694,32,10000,22500,100000,2,0,2
422,27,25,27500,50,4,0,1
459,65,10000,22500,0,2,0,2
466,23,10000,27500,0,2,0,2
839,32,125,75000,500,7.5,0,10
492,23,25,12500,5000,2,1,3
466,27,25,3500,0,2,0,1
624,52,5000,65000,0,2,0,5
8766,20,,0,,1,0,1
693,57,125,112500,100000,20,0,3
519,27,25,133000,50000,7.5,0,5
708,42,125,65000,0,1,0,1
293,20,,0,,2,0,1
1251,32,10000,35000,0,1,0,1
573,32,500,500,0,1,0,1
406,32,25,17500,5000,2,0,1
508,42,25,95000,5000,15,0,12
765,23,25,500,5000,1,0,1
277,23,,0,,1,0,1
373,20,,0,,0,,
541,37,10000,55000,5000,15,3,2
368,47,500,500000,100000,0,,
1295,37,125,55000,50000,20,12,12
521,23,,0,,1,0,1
40193,32,125,2500,500,2,0,2
466,52,25,6250,0,1,0,1
455,23,,0,,1,0,3
1002,57,25,4500,0,4,0,4
479,32,25,2500,50,2,0,1
434,23,,0,,2,0,2
1783,27,10000,27500,500,4,0,5
326,27,10000,22500,0,2,0,2
501,32,125,65000,5000,7.5,0,10
1169,20,25,500,0,1,0,1
399,32,5000,55000,0,1,0,1
1456,57,25,500,5000,7.5,0,5
1234,52,5000,12500,5000,2,0,4
394,27,5000,17500,0,2,0,1
42415,42,125,6250,5000,4,1,4
823,52,10000,225000,100000,2,0,5
1280,52,10000,75000,50000,4,0,4
640,42,,0,,2,1,3
758,23,,0,,1,0,1
368,27,,0,,7.5,1,5
624,32,5000,45000,5000,7.5,0,10
639,20,25,500,0,1,0,1
786,42,25,95000,500,15,0,12
584,27,25,12500,0,7.5,12,10
546,20,,0,,2,0,1
458,27,10000,27500,0,2,1,3
772,32,5000,35000,5000,4,1,2
398,20,,0,,2,0,3
784,27,25,55000,0,4,0,3
476,32,5000,35000,0,1,0,1
440,32,10000,27500,0,2,0,2
1343,52,25,95000,50000,20,0,3
810,37,5000,35000,0,1,0,1
5612,23,5000,2500,50,2,0,2
1393,37,125,22500,0,4,1,3
2743,37,10000,22500,5000,1,0,1
738,52,25,45000,50000,2,0,2
1571,42,500,55000,0,2,0,2
791,65,,0,,1,0,1
2946,37,5000,55000,0,7.5,0,10
984,23,,0,,2,0,2
561,65,25,500,50,20,3,2
1058,23,25,1500,50,2,0,1
443,42,125,75000,0,2,0,2
875,47,5000,12500,0,0,,
650,27,25,27500,50000,4,3,4
879,57,25,55000,0,20,0,10
741,23,5000,3500,100000,4,0,2
340,23,,0,,2,0,1
923,23,10000,4500,500,1,0,1
496,32,500,12500,500,2,0,2
587,32,10000,12500,0,1,0,1
1058,47,125,112500,500,7.5,0,10
22660,20,,0,,1,3,1
326,27,,0,,2,0,1
384,23,25,500,0,2,0,1
12429,37,10000,500,500,1,0,2
215,27,,0,,4,0,1
1190,42,10000,27500,0,15,3,2
404,20,,0,,1,0,1
452,32,125,17500,0,15,0,1
567,37,10000,17500,100000,7.5,0,1
565,52,25,175000,100000,4,0,3
506,32,25,45000,5000,4,0,3
554,27,10000,35000,0,4,0,4
799,32,5000,85000,5000,7.5,0,4
2434,20,,0,,1,0,1
821,32,125,35000,5000,4,0,1
440,42,25,175000,5000,4,3,2
600,65,25,112500,5000,7.5,1,10
783,42,10000,275000,500,7.5,0,4
438,23,25,4500,0,1,1,1
736,32,500,95000,50000,4,3,4
738,32,5000,12500,500,1,0,1
5949,27,,0,,0,,
3476,27,10000,1500,100000,4,3,2
2227,42,,0,,2,0,1
553,32,5000,8250,50000,15,25,12
646,52,125,65000,0,1,0,2
602,47,5000,45000,50000,7.5,3,10
942,27,125,1500,50,1,0,1
1049,32,125,2500,0,2,0,2
492,20,,0,,1,0,1
673,42,25,65000,50,4,0,4
1806,52,5000,1500,5000,20,0,20
854,57,25,45000,50000,2,0,2
1814,42,,0,,1,1,1
346,20,,0,,0,,
264,37,10000,45000,0,0,,
21786,57,,0,,20,0,12
495,65,500,35000,500,7.5,0,5
648,37,125,55000,5000,15,0,12
385,27,25,500,0,1,0,1
386,27,5000,55000,0,4,0,3
714,37,5000,35000,5000,7.5,0,4
581,32,10000,112500,50000,7.5,1,10
469,27,25,45000,500,4,0,5
2419,42,10000,3500,0,2,0,2
1097,32,25,22500,0,1,0,1
878,32,125,27500,0,2,0,2
770,23,,0,,1,3,1
541,32,500,27500,500,7.5,0,4
316,20,,0,,1,0,1
690,27,10000,55000,500,7.5,3,10
20624,27,5000,275000,500,15,0,10
821,32,5000,45000,0,2,0,1
1118,32,500,3500,500,2,0,2
