Time from Start to Finish (seconds),Q1,Q6,Q7,Q10,Q11,Q15,Q22,Q23
1282,18-21,,,,,3-5 years,Never,1-2 years
970,40-44,50-249 employees,4-Mar,"1,000-1,999","$1000-$9,999",1-2 years,Never,1-2 years
2873,30-34,250-999 employees,20+,"40,000-49,999","$1000-$9,999",3-5 years,Never,2-3 years
129,22-24,,,,,I have never written code,,
280,18-21,,,,,< 1 years,Never,< 1 years
496,35-39,"> 10,000 employees",20+,"4,000-4,999",$0 (USD),3-5 years,Never,4-5 years
864,25-29,50-249 employees,9-May,"30,000-39,999",$100-$999,1-2 years,Never,< 1 years
261,25-29,,,,,3-5 years,Never,3-4 years
753,25-29,0-49 employees,0,"2,000-2,999","$1000-$9,999",3-5 years,Never,3-4 years
678,35-39,50-249 employees,4-Mar,"4,000-4,999",$1-$99,3-5 years,Never,< 1 years
469,22-24,,,,,3-5 years,Never,2-3 years
9646,25-29,0-49 employees,0,$0-999,$0 (USD),< 1 years,Never,< 1 years
434,30-34,"1000-9,999 employees",14-Oct,"40,000-49,999",$0 (USD),< 1 years,Never,< 1 years
8376,25-29,"> 10,000 employees",20+,"20,000-24,999",$0 (USD),3-5 years,Once,2-3 years
785,30-34,"> 10,000 employees",20+,"200,000-249,999","$1000-$9,999",3-5 years,Never,1-2 years
378,30-34,0-49 employees,2-Jan,"5,000-7,499",$0 (USD),5-10 years,Never,5-10 years
549,18-21,"> 10,000 employees",4-Mar,$0-999,$0 (USD),1-2 years,Once,1-2 years
726,22-24,,,,,< 1 years,Never,< 1 years
1404,30-34,0-49 employees,4-Mar,$0-999,$0 (USD),3-5 years,Never,3-4 years
670,22-24,50-249 employees,2-Jan,$0-999,"$1000-$9,999",1-2 years,Never,2-3 years
4368,22-24,0-49 employees,2-Jan,"30,000-39,999",$0 (USD),3-5 years,Never,1-2 years
3348,55-59,"1000-9,999 employees",0,"70,000-79,999",$100-$999,< 1 years,Never,< 1 years
507,18-21,0-49 employees,0,"7,500-9,999",$0 (USD),< 1 years,Never,< 1 years
472,35-39,50-249 employees,2-Jan,"90,000-99,999",$1-$99,5-10 years,Never,2-3 years
698,45-49,0-49 employees,9-May,"100,000-124,999","> $100,000 ($USD)",5-10 years,Never,5-10 years
3481,35-39,50-249 employees,9-May,"15,000-19,999",$0 (USD),1-2 years,Never,1-2 years
829,50-54,0-49 employees,2-Jan,"20,000-24,999",$100-$999,3-5 years,Never,4-5 years
440,30-34,250-999 employees,9-May,"1,000-1,999",$0 (USD),< 1 years,Never,< 1 years
951,25-29,"1000-9,999 employees",9-May,"1,000-1,999",$0 (USD),3-5 years,Once,3-4 years
4760,60-69,0-49 employees,2-Jan,"300,000-500,000","$1000-$9,999",20+ years,Never,5-10 years
3596,30-34,0-49 employees,4-Mar,"2,000-2,999","$10,000-$99,999",5-10 years,Never,< 1 years
877,30-34,"> 10,000 employees",20+,"150,000-199,999","> $100,000 ($USD)",5-10 years,2-5 times,4-5 years
352,30-34,250-999 employees,0,"100,000-124,999",$0 (USD),< 1 years,Never,< 1 years
588,30-34,250-999 employees,14-Oct,"100,000-124,999","$10,000-$99,999",10-20 years,Never,10-15 years
330,22-24,0-49 employees,0,$0-999,$0 (USD),I have never written code,,
536,25-29,,,,,1-2 years,Never,< 1 years
369,60-69,"> 10,000 employees",0,"80,000-89,999",$0 (USD),< 1 years,Never,< 1 years
601,35-39,,,,,< 1 years,Never,< 1 years
2634,25-29,,,,,I have never written code,,
999,40-44,50-249 employees,20+,"2,000-2,999","$10,000-$99,999",1-2 years,Never,1-2 years
821,30-34,50-249 employees,9-May,"10,000-14,999",$100-$999,1-2 years,2-5 times,< 1 years
23452,40-44,0-49 employees,9-May,"100,000-124,999",$100-$999,I have never written code,,
484,55-59,"1000-9,999 employees",14-Oct,"40,000-49,999","$10,000-$99,999",3-5 years,2-5 times,3-4 years
1825,45-49,"> 10,000 employees",20+,"100,000-124,999","> $100,000 ($USD)",10-20 years,Never,< 1 years
647,25-29,0-49 employees,4-Mar,"30,000-39,999","$1000-$9,999",3-5 years,2-5 times,1-2 years
400,45-49,0-49 employees,2-Jan,"10,000-14,999",$0 (USD),5-10 years,2-5 times,4-5 years
370,25-29,0-49 employees,9-May,"40,000-49,999","$1000-$9,999",1-2 years,2-5 times,1-2 years
937,35-39,0-49 employees,2-Jan,$0-999,$100-$999,3-5 years,Never,< 1 years
37324,25-29,0-49 employees,2-Jan,"3,000-3,999",$100-$999,1-2 years,Never,1-2 years
1227,40-44,,,,,3-5 years,Never,2-3 years
1036,45-49,"1000-9,999 employees",20+,"40,000-49,999",$100-$999,5-10 years,Never,4-5 years
547,40-44,250-999 employees,9-May,"100,000-124,999",$1-$99,10-20 years,Never,1-2 years
531,50-54,50-249 employees,9-May,"100,000-124,999","> $100,000 ($USD)",3-5 years,Never,2-3 years
284,18-21,,,,,< 1 years,Never,1-2 years
299,45-49,,,,,< 1 years,Once,< 1 years
72539,45-49,"> 10,000 employees",20+,"300,000-500,000","> $100,000 ($USD)",10-20 years,Never,10-15 years
42904,30-34,"1000-9,999 employees",20+,$0-999,$100-$999,5-10 years,Once,< 1 years
790,30-34,,,,,5-10 years,Never,< 1 years
579,22-24,,,,,1-2 years,Never,1-2 years
735,30-34,"> 10,000 employees",14-Oct,$0-999,$1-$99,3-5 years,Once,3-4 years
1234,25-29,0-49 employees,4-Mar,"50,000-59,999",$1-$99,1-2 years,Never,2-3 years
671,22-24,,,,,3-5 years,Never,1-2 years
664,30-34,0-49 employees,4-Mar,"50,000-59,999","$10,000-$99,999",5-10 years,Never,5-10 years
445,30-34,250-999 employees,2-Jan,"10,000-14,999","$1000-$9,999",3-5 years,Never,2-3 years
479,55-59,250-999 employees,4-Mar,"100,000-124,999","$10,000-$99,999",1-2 years,Never,5-10 years
844,50-54,"1000-9,999 employees",9-May,"125,000-149,999","$10,000-$99,999",I have never written code,,
324,18-21,,,,,< 1 years,Never,< 1 years
526,35-39,"> 10,000 employees",20+,"125,000-149,999","> $100,000 ($USD)",10-20 years,Never,5-10 years
929,25-29,50-249 employees,2-Jan,"20,000-24,999","$10,000-$99,999",1-2 years,Never,1-2 years
465,25-29,50-249 employees,0,"10,000-14,999",$0 (USD),< 1 years,Never,< 1 years
865,30-34,250-999 employees,20+,"10,000-14,999","$10,000-$99,999",3-5 years,Never,4-5 years
425,18-21,50-249 employees,14-Oct,"3,000-3,999",$1-$99,1-2 years,Never,< 1 years
449,25-29,50-249 employees,4-Mar,"50,000-59,999",$0 (USD),3-5 years,Never,1-2 years
421,45-49,"> 10,000 employees",2-Jan,"150,000-199,999","> $100,000 ($USD)",20+ years,Never,< 1 years
1615,22-24,0-49 employees,0,$0-999,$0 (USD),3-5 years,2-5 times,< 1 years
794,30-34,,,,,5-10 years,Never,1-2 years
596,45-49,0-49 employees,0,"60,000-69,999",$1-$99,3-5 years,2-5 times,2-3 years
460,40-44,50-249 employees,0,"60,000-69,999",$0 (USD),5-10 years,Never,3-4 years
429,18-21,50-249 employees,9-May,"5,000-7,499",$0 (USD),< 1 years,Never,< 1 years
586,22-24,"1000-9,999 employees",20+,"15,000-19,999",$100-$999,1-2 years,2-5 times,1-2 years
494,22-24,0-49 employees,4-Mar,"40,000-49,999",$1-$99,3-5 years,Never,2-3 years
1437,50-54,"> 10,000 employees",20+,"30,000-39,999",$0 (USD),I have never written code,,
996,50-54,250-999 employees,4-Mar,"10,000-14,999",$100-$999,< 1 years,Never,1-2 years
17955,18-21,0-49 employees,2-Jan,"90,000-99,999",$1-$99,1-2 years,Once,2-3 years
541,35-39,"1000-9,999 employees",20+,"5,000-7,499",$100-$999,< 1 years,Never,2-3 years
71927,30-34,0-49 employees,0,"3,000-3,999",$100-$999,< 1 years,Never,< 1 years
474,35-39,0-49 employees,4-Mar,"150,000-199,999","$1000-$9,999",10-20 years,2-5 times,4-5 years
317,25-29,"> 10,000 employees",20+,"150,000-199,999","$1000-$9,999",5-10 years,Never,5-10 years
978,30-34,0-49 employees,9-May,"100,000-124,999","$10,000-$99,999",3-5 years,Never,2-3 years
880,50-54,50-249 employees,2-Jan,"70,000-79,999","$10,000-$99,999",20+ years,Never,20+ years
762,22-24,0-49 employees,4-Mar,"40,000-49,999",$100-$999,5-10 years,Once,4-5 years
13825,45-49,50-249 employees,4-Mar,"20,000-24,999","$1000-$9,999",1-2 years,Never,1-2 years
771,22-24,"> 10,000 employees",9-May,"10,000-14,999","> $100,000 ($USD)",3-5 years,Never,3-4 years
395,25-29,,,,,< 1 years,Never,< 1 years
606,40-44,"1000-9,999 employees",14-Oct,"250,000-299,999","$10,000-$99,999",10-20 years,Never,5-10 years
12395,50-54,"1000-9,999 employees",2-Jan,"100,000-124,999","$1000-$9,999",20+ years,Once,1-2 years
717,30-34,0-49 employees,0,$0-999,"$1000-$9,999",5-10 years,2-5 times,< 1 years
1027,30-34,"1000-9,999 employees",20+,"125,000-149,999",$0 (USD),1-2 years,Never,1-2 years
299,30-34,50-249 employees,4-Mar,"10,000-14,999",$0 (USD),I have never written code,,
1226,30-34,50-249 employees,4-Mar,"125,000-149,999","$10,000-$99,999",10-20 years,Never,3-4 years
1196,25-29,250-999 employees,9-May,$0-999,$0 (USD),1-2 years,Never,< 1 years
818,55-59,"> 10,000 employees",20+,"150,000-199,999","> $100,000 ($USD)",3-5 years,Never,3-4 years
485,30-34,50-249 employees,14-Oct,"80,000-89,999","$1000-$9,999",5-10 years,Never,4-5 years
20383,22-24,250-999 employees,0,"7,500-9,999",$0 (USD),< 1 years,Never,< 1 years
534,25-29,,,,,1-2 years,Never,1-2 years
1236,35-39,,,,,< 1 years,Never,< 1 years
543,50-54,"> 10,000 employees",20+,"80,000-89,999","> $100,000 ($USD)",20+ years,Never,20+ years
412,30-34,50-249 employees,2-Jan,"60,000-69,999",$1-$99,3-5 years,Never,< 1 years
394,18-21,,,,,< 1 years,2-5 times,< 1 years
43562,30-34,0-49 employees,20+,"10,000-14,999","$1000-$9,999",3-5 years,Never,1-2 years
511,35-39,"> 10,000 employees",20+,"100,000-124,999","> $100,000 ($USD)",3-5 years,Never,2-3 years
543,50-54,"> 10,000 employees",20+,"100,000-124,999","$1000-$9,999",3-5 years,Never,3-4 years
416,18-21,,,,,< 1 years,Never,< 1 years
39389,35-39,"> 10,000 employees",20+,"100,000-124,999",$0 (USD),10-20 years,Never,5-10 years
386,40-44,50-249 employees,4-Mar,"100,000-124,999","$1000-$9,999",3-5 years,Never,4-5 years
777,35-39,"1000-9,999 employees",9-May,"100,000-124,999","$1000-$9,999",10-20 years,Never,10-15 years
60748,35-39,"1000-9,999 employees",0,"3,000-3,999",$0 (USD),1-2 years,Never,1-2 years
327,35-39,"> 10,000 employees",20+,"25,000-29,999",$0 (USD),3-5 years,Never,1-2 years
489,22-24,,,,,< 1 years,Never,< 1 years
3723,25-29,0-49 employees,4-Mar,"2,000-2,999","$10,000-$99,999",3-5 years,Never,3-4 years
583,35-39,"> 10,000 employees",20+,"200,000-249,999","> $100,000 ($USD)",10-20 years,Once,10-15 years
506,25-29,"> 10,000 employees",2-Jan,"10,000-14,999",$0 (USD),1-2 years,Never,1-2 years
628,55-59,0-49 employees,2-Jan,"150,000-199,999","$10,000-$99,999",1-2 years,> 25 times,3-4 years
565,50-54,0-49 employees,2-Jan,"125,000-149,999","$10,000-$99,999",10-20 years,Never,20+ years
973,25-29,,,,,5-10 years,Never,5-10 years
622,45-49,0-49 employees,2-Jan,"20,000-24,999",$100-$999,5-10 years,Never,10-15 years
559,60-69,"1000-9,999 employees",15-19,"150,000-199,999","$1000-$9,999",10-20 years,Never,5-10 years
824,55-59,0-49 employees,2-Jan,"90,000-99,999","$1000-$9,999",20+ years,Never,5-10 years
1697,30-34,0-49 employees,14-Oct,"7,500-9,999","$1000-$9,999",5-10 years,Never,5-10 years
436,35-39,250-999 employees,4-Mar,"200,000-249,999","> $100,000 ($USD)",10-20 years,Never,5-10 years
340,40-44,"> 10,000 employees",20+,"250,000-299,999","> $100,000 ($USD)",10-20 years,Never,3-4 years
9963,55-59,"1000-9,999 employees",2-Jan,"40,000-49,999","$1000-$9,999",5-10 years,Never,5-10 years
661,30-34,"1000-9,999 employees",20+,"70,000-79,999","$1000-$9,999",10-20 years,Never,4-5 years
423,18-21,,,,,< 1 years,Never,< 1 years
585,40-44,"> 10,000 employees",20+,"200,000-249,999","> $100,000 ($USD)",10-20 years,6-24 times,10-15 years
257,35-39,250-999 employees,2-Jan,"100,000-124,999",$0 (USD),1-2 years,Never,< 1 years
455,55-59,0-49 employees,2-Jan,$0-999,$0 (USD),20+ years,Never,< 1 years
804,60-69,"> 10,000 employees",14-Oct,"125,000-149,999","> $100,000 ($USD)",5-10 years,Never,5-10 years
507,70+,0-49 employees,0,"15,000-19,999",$100-$999,5-10 years,Never,1-2 years
554,35-39,250-999 employees,4-Mar,"70,000-79,999",$0 (USD),3-5 years,Never,2-3 years
63797,25-29,0-49 employees,2-Jan,"50,000-59,999",$1-$99,1-2 years,Never,2-3 years
257,25-29,,,,,I have never written code,,
510,50-54,"> 10,000 employees",20+,"> $500,000","> $100,000 ($USD)",20+ years,> 25 times,20+ years
484,25-29,"> 10,000 employees",4-Mar,"70,000-79,999","$1000-$9,999",3-5 years,Never,1-2 years
700,30-34,"> 10,000 employees",20+,"70,000-79,999",$100-$999,10-20 years,Never,3-4 years
351,22-24,,,,,< 1 years,Never,< 1 years
487,30-34,"> 10,000 employees",4-Mar,$0-999,$0 (USD),10-20 years,Never,3-4 years
359,25-29,"> 10,000 employees",20+,"125,000-149,999","$10,000-$99,999",3-5 years,Never,1-2 years
1000,22-24,50-249 employees,20+,"7,500-9,999",$100-$999,3-5 years,Never,1-2 years
541,45-49,"1000-9,999 employees",20+,"150,000-199,999","> $100,000 ($USD)",20+ years,Never,10-15 years
544,30-34,"1000-9,999 employees",20+,"50,000-59,999",$0 (USD),1-2 years,6-24 times,< 1 years
562,25-29,250-999 employees,4-Mar,$0-999,"> $100,000 ($USD)",1-2 years,Never,1-2 years
605,25-29,0-49 employees,4-Mar,"100,000-124,999","$1000-$9,999",3-5 years,Never,5-10 years
751,50-54,"> 10,000 employees",20+,"100,000-124,999",$100-$999,3-5 years,Never,1-2 years
900,30-34,0-49 employees,2-Jan,"10,000-14,999",$1-$99,10-20 years,Never,3-4 years
597,30-34,0-49 employees,9-May,"15,000-19,999","$1000-$9,999",10-20 years,Never,5-10 years
98837,25-29,50-249 employees,2-Jan,"100,000-124,999",$100-$999,5-10 years,Never,3-4 years
40233,45-49,"> 10,000 employees",20+,"100,000-124,999",$100-$999,1-2 years,Never,< 1 years
425,25-29,250-999 employees,4-Mar,"100,000-124,999","$10,000-$99,999",3-5 years,Never,1-2 years
72750,30-34,"> 10,000 employees",20+,"80,000-89,999",$0 (USD),3-5 years,Never,2-3 years
620,25-29,250-999 employees,9-May,"60,000-69,999","$1000-$9,999",3-5 years,Never,2-3 years
1102,30-34,0-49 employees,2-Jan,"2,000-2,999",$1-$99,< 1 years,Never,< 1 years
1161,60-69,"1000-9,999 employees",20+,"150,000-199,999","$10,000-$99,999",20+ years,Never,4-5 years
582,18-21,,,,,1-2 years,Once,1-2 years
785,18-21,,,,,I have never written code,,
997,25-29,,,,,3-5 years,Never,2-3 years
1411,25-29,"> 10,000 employees",20+,$0-999,$100-$999,< 1 years,6-24 times,1-2 years
567,55-59,"> 10,000 employees",20+,"> $500,000","$10,000-$99,999",20+ years,Never,2-3 years
29090,22-24,0-49 employees,2-Jan,$0-999,$0 (USD),1-2 years,Once,1-2 years
339,30-34,0-49 employees,0,"2,000-2,999",$0 (USD),I have never written code,,
514,60-69,0-49 employees,2-Jan,"200,000-249,999","$1000-$9,999",20+ years,Once,5-10 years
450,25-29,0-49 employees,2-Jan,"70,000-79,999",$100-$999,3-5 years,Never,1-2 years
100846,25-29,50-249 employees,2-Jan,"1,000-1,999",$1-$99,< 1 years,Never,< 1 years
782,22-24,50-249 employees,2-Jan,$0-999,$0 (USD),1-2 years,2-5 times,1-2 years
347,50-54,50-249 employees,2-Jan,"40,000-49,999",$0 (USD),< 1 years,Never,< 1 years
473,45-49,"> 10,000 employees",20+,"125,000-149,999",$0 (USD),10-20 years,Never,< 1 years
815,30-34,,,,,< 1 years,Never,< 1 years
785,18-21,,,,,3-5 years,6-24 times,2-3 years
9306,50-54,"1000-9,999 employees",2-Jan,"150,000-199,999",$100-$999,10-20 years,Never,10-15 years
556,45-49,"1000-9,999 employees",20+,"250,000-299,999","$10,000-$99,999",20+ years,Never,5-10 years
1528,35-39,"> 10,000 employees",20+,"90,000-99,999","> $100,000 ($USD)",10-20 years,Never,4-5 years
46879,40-44,"> 10,000 employees",20+,"80,000-89,999",$100-$999,< 1 years,2-5 times,< 1 years
4277,40-44,250-999 employees,0,"50,000-59,999","$10,000-$99,999",1-2 years,Never,1-2 years
749,35-39,50-249 employees,2-Jan,"60,000-69,999",$100-$999,10-20 years,Never,2-3 years
98374,35-39,"1000-9,999 employees",20+,"200,000-249,999",$1-$99,< 1 years,Never,< 1 years
353,25-29,0-49 employees,2-Jan,"70,000-79,999",$100-$999,3-5 years,Never,2-3 years
550,35-39,50-249 employees,2-Jan,"125,000-149,999",$1-$99,3-5 years,Never,1-2 years
463,40-44,250-999 employees,14-Oct,"90,000-99,999",$100-$999,I have never written code,,
1025,30-34,50-249 employees,4-Mar,"50,000-59,999","$1000-$9,999",1-2 years,Never,< 1 years
707,18-21,,,,,1-2 years,Never,1-2 years
531,35-39,250-999 employees,9-May,"100,000-124,999","$10,000-$99,999",3-5 years,Never,2-3 years
941,25-29,250-999 employees,9-May,"60,000-69,999",$1-$99,3-5 years,2-5 times,2-3 years
255,18-21,,,,,I have never written code,,
875,35-39,"1000-9,999 employees",9-May,"150,000-199,999",$100-$999,10-20 years,Never,10-15 years
167,18-21,,,,,I have never written code,,
383,18-21,,,,,1-2 years,Never,1-2 years
681,40-44,50-249 employees,2-Jan,"4,000-4,999",$1-$99,10-20 years,Once,3-4 years
340,22-24,,,,,1-2 years,Never,2-3 years
530,25-29,"1000-9,999 employees",20+,"60,000-69,999",$0 (USD),5-10 years,Never,2-3 years
986,40-44,50-249 employees,0,"15,000-19,999",$0 (USD),< 1 years,2-5 times,< 1 years
85036,25-29,"> 10,000 employees",20+,"40,000-49,999","> $100,000 ($USD)",1-2 years,Never,1-2 years
870,45-49,"1000-9,999 employees",9-May,"30,000-39,999",$100-$999,3-5 years,Never,< 1 years
496,25-29,"> 10,000 employees",20+,"30,000-39,999",$1-$99,5-10 years,Never,1-2 years
459,40-44,50-249 employees,20+,"100,000-124,999","> $100,000 ($USD)",5-10 years,Never,4-5 years
420,45-49,,,,,1-2 years,Never,1-2 years
531,30-34,0-49 employees,2-Jan,"30,000-39,999",$0 (USD),5-10 years,Never,5-10 years
1203,35-39,"1000-9,999 employees",9-May,"200,000-249,999","$10,000-$99,999",10-20 years,Never,5-10 years
1003,45-49,50-249 employees,15-19,"90,000-99,999","$10,000-$99,999",10-20 years,2-5 times,4-5 years
659,30-34,0-49 employees,4-Mar,"20,000-24,999",$100-$999,1-2 years,Never,2-3 years
805,50-54,250-999 employees,0,"10,000-14,999",$0 (USD),5-10 years,Never,5-10 years
2034,30-34,,,,,1-2 years,Never,< 1 years
456,45-49,"> 10,000 employees",20+,"200,000-249,999","> $100,000 ($USD)",10-20 years,Never,10-15 years
856,25-29,50-249 employees,9-May,$0-999,$1-$99,3-5 years,Never,< 1 years
86858,35-39,0-49 employees,4-Mar,"125,000-149,999","> $100,000 ($USD)",10-20 years,Never,5-10 years
92614,30-34,250-999 employees,4-Mar,"30,000-39,999","$1000-$9,999",< 1 years,Never,< 1 years
1000,45-49,0-49 employees,2-Jan,"10,000-14,999","$1000-$9,999",< 1 years,Never,< 1 years
468,30-34,"> 10,000 employees",20+,"5,000-7,499",$1-$99,3-5 years,Never,2-3 years
329,25-29,,,,,5-10 years,2-5 times,3-4 years
86495,35-39,250-999 employees,2-Jan,"30,000-39,999",$0 (USD),< 1 years,Never,< 1 years
777,35-39,0-49 employees,2-Jan,"100,000-124,999",$0 (USD),10-20 years,Never,5-10 years
583,40-44,50-249 employees,9-May,"100,000-124,999","$10,000-$99,999",3-5 years,Never,2-3 years
284,22-24,,,,,3-5 years,6-24 times,3-4 years
61829,30-34,50-249 employees,9-May,"125,000-149,999","$10,000-$99,999",10-20 years,Never,5-10 years
634,45-49,0-49 employees,2-Jan,"60,000-69,999",$0 (USD),20+ years,Never,< 1 years
383,18-21,,,,,1-2 years,Never,< 1 years
663,25-29,"> 10,000 employees",20+,"60,000-69,999",$0 (USD),5-10 years,Never,5-10 years
580,30-34,"1000-9,999 employees",0,"125,000-149,999","> $100,000 ($USD)",5-10 years,Never,< 1 years
1060,25-29,50-249 employees,9-May,"70,000-79,999","$10,000-$99,999",1-2 years,Never,< 1 years
482,25-29,"1000-9,999 employees",0,"25,000-29,999",$1-$99,3-5 years,Never,3-4 years
406,22-24,250-999 employees,14-Oct,"7,500-9,999",$0 (USD),1-2 years,Never,1-2 years
60647,25-29,50-249 employees,0,$0-999,$0 (USD),1-2 years,Never,< 1 years
535,25-29,"> 10,000 employees",20+,"4,000-4,999","$1000-$9,999",5-10 years,Never,1-2 years
613,30-34,"1000-9,999 employees",20+,"100,000-124,999",$100-$999,3-5 years,Never,< 1 years
711,30-34,"1000-9,999 employees",20+,"70,000-79,999",$100-$999,5-10 years,Never,1-2 years
1608,60-69,"> 10,000 employees",20+,"50,000-59,999","$1000-$9,999",3-5 years,Never,1-2 years
499,18-21,,,,,< 1 years,Never,< 1 years
506,22-24,,,,,1-2 years,Never,1-2 years
66131,45-49,0-49 employees,4-Mar,$0-999,"$1000-$9,999",< 1 years,Never,< 1 years
466,18-21,,,,,< 1 years,Never,< 1 years
730,30-34,"> 10,000 employees",20+,"90,000-99,999","> $100,000 ($USD)",5-10 years,Never,2-3 years
87256,22-24,50-249 employees,2-Jan,"3,000-3,999",$0 (USD),3-5 years,Never,1-2 years
989,25-29,"> 10,000 employees",20+,"125,000-149,999",$0 (USD),3-5 years,Never,3-4 years
760,40-44,"> 10,000 employees",20+,"125,000-149,999","$1000-$9,999",3-5 years,Never,3-4 years
464,25-29,"1000-9,999 employees",4-Mar,"2,000-2,999",$100-$999,1-2 years,Never,< 1 years
979,22-24,,,,,3-5 years,Never,< 1 years
290,35-39,50-249 employees,0,"4,000-4,999",$1-$99,I have never written code,,
1022,25-29,0-49 employees,20+,"1,000-1,999","$1000-$9,999",5-10 years,Never,2-3 years
1221,35-39,50-249 employees,14-Oct,"30,000-39,999",$1-$99,1-2 years,Once,< 1 years
949,25-29,0-49 employees,4-Mar,"2,000-2,999",$0 (USD),< 1 years,Once,1-2 years
721,55-59,,,,,1-2 years,Never,1-2 years
541,22-24,"> 10,000 employees",20+,"10,000-14,999",$1-$99,5-10 years,Never,< 1 years
772,55-59,"1000-9,999 employees",14-Oct,"20,000-24,999",$100-$999,1-2 years,Never,2-3 years
612,18-21,0-49 employees,2-Jan,$0-999,$0 (USD),1-2 years,Never,< 1 years
624,22-24,,,,,I have never written code,,
967,25-29,250-999 employees,14-Oct,"90,000-99,999",$0 (USD),5-10 years,Never,1-2 years
383,35-39,0-49 employees,2-Jan,"5,000-7,499","$1000-$9,999",3-5 years,Never,1-2 years
87186,45-49,"1000-9,999 employees",14-Oct,"90,000-99,999","$10,000-$99,999",3-5 years,Never,2-3 years
469,25-29,"> 10,000 employees",20+,"70,000-79,999",$100-$999,3-5 years,Never,1-2 years
3114,45-49,"1000-9,999 employees",15-19,"125,000-149,999","> $100,000 ($USD)",1-2 years,Never,< 1 years
360,60-69,,,,,5-10 years,Never,1-2 years
7484,35-39,0-49 employees,2-Jan,"2,000-2,999","> $100,000 ($USD)",10-20 years,> 25 times,20+ years
371,22-24,"> 10,000 employees",20+,"1,000-1,999",$0 (USD),3-5 years,Once,< 1 years
349,45-49,250-999 employees,9-May,"10,000-14,999",$100-$999,10-20 years,Once,3-4 years
2860,30-34,"> 10,000 employees",20+,"15,000-19,999","$1000-$9,999",1-2 years,Never,< 1 years
743,45-49,0-49 employees,2-Jan,"80,000-89,999",$0 (USD),5-10 years,Never,4-5 years
246,18-21,,,,,1-2 years,Never,1-2 years
766,45-49,50-249 employees,14-Oct,$0-999,$0 (USD),10-20 years,Never,10-15 years
1323,25-29,50-249 employees,4-Mar,"1,000-1,999",$0 (USD),< 1 years,Never,1-2 years
1192,22-24,250-999 employees,4-Mar,"7,500-9,999",$1-$99,< 1 years,Never,< 1 years
417,22-24,,,,,< 1 years,Never,< 1 years
407,25-29,"1000-9,999 employees",20+,"80,000-89,999","$10,000-$99,999",3-5 years,Never,2-3 years
2142,25-29,"1000-9,999 employees",14-Oct,"10,000-14,999",$1-$99,1-2 years,Never,2-3 years
748,35-39,"> 10,000 employees",20+,"4,000-4,999","$1000-$9,999",5-10 years,Once,1-2 years
597,40-44,"> 10,000 employees",20+,"150,000-199,999","$10,000-$99,999",10-20 years,Never,10-15 years
827,25-29,0-49 employees,2-Jan,$0-999,$1-$99,1-2 years,Never,< 1 years
471,25-29,0-49 employees,4-Mar,$0-999,$0 (USD),1-2 years,2-5 times,1-2 years
2088,22-24,0-49 employees,4-Mar,"5,000-7,499",$1-$99,< 1 years,Once,< 1 years
1981,40-44,"1000-9,999 employees",15-19,$0-999,$0 (USD),3-5 years,Never,2-3 years
92966,25-29,,,,,1-2 years,Never,1-2 years
620,30-34,"> 10,000 employees",0,"40,000-49,999","$10,000-$99,999",< 1 years,Never,< 1 years
431,22-24,,,,,1-2 years,Never,< 1 years
264,18-21,,,,,I have never written code,,
69100,35-39,50-249 employees,20+,"70,000-79,999","$10,000-$99,999",3-5 years,Never,1-2 years
462,30-34,"1000-9,999 employees",14-Oct,"60,000-69,999",$0 (USD),3-5 years,Never,2-3 years
308,30-34,,,,,1-2 years,Never,< 1 years
352,22-24,250-999 employees,4-Mar,"40,000-49,999",$0 (USD),1-2 years,Never,< 1 years
617,35-39,250-999 employees,4-Mar,"150,000-199,999","$1000-$9,999",3-5 years,Never,4-5 years
739,25-29,"> 10,000 employees",0,"10,000-14,999","$1000-$9,999",3-5 years,Never,< 1 years
549,30-34,0-49 employees,2-Jan,"5,000-7,499",$0 (USD),< 1 years,Never,< 1 years
292,18-21,,,,,1-2 years,Never,< 1 years
489,18-21,0-49 employees,9-May,"3,000-3,999",$100-$999,1-2 years,Never,< 1 years
580,25-29,"> 10,000 employees",20+,"20,000-24,999",$0 (USD),3-5 years,Never,< 1 years
342,18-21,,,,,< 1 years,Never,< 1 years
365,18-21,,,,,1-2 years,Never,1-2 years
701,18-21,,,,,1-2 years,Never,< 1 years
716,18-21,250-999 employees,20+,"90,000-99,999",$0 (USD),1-2 years,2-5 times,1-2 years
689,22-24,,,,,< 1 years,Never,< 1 years
918,25-29,0-49 employees,2-Jan,"5,000-7,499","$1000-$9,999",1-2 years,Never,1-2 years
897,50-54,"1000-9,999 employees",4-Mar,"60,000-69,999",$0 (USD),20+ years,Never,< 1 years
134671,18-21,0-49 employees,4-Mar,$0-999,$100-$999,1-2 years,2-5 times,1-2 years
447,35-39,250-999 employees,4-Mar,"2,000-2,999",$0 (USD),3-5 years,Never,2-3 years
544,55-59,"1000-9,999 employees",4-Mar,"100,000-124,999","$10,000-$99,999",10-20 years,Never,2-3 years
811,18-21,"1000-9,999 employees",14-Oct,$0-999,$0 (USD),< 1 years,Once,< 1 years
1092,30-34,50-249 employees,9-May,"15,000-19,999",$100-$999,3-5 years,Never,2-3 years
578,25-29,"> 10,000 employees",4-Mar,"50,000-59,999","$1000-$9,999",5-10 years,Once,1-2 years
826,25-29,"1000-9,999 employees",4-Mar,$0-999,$1-$99,1-2 years,Never,2-3 years
